TITRE,Date de diffusion,Chaîne,Nationalité,Téléspectateurs (en millions),Part d'audience (en %),Jour,Vacances scolaires
JACK REACHER,2018-02-01,France 3,Etats-Unis,3.138048,14.0,Thursday,non
LES NEIGES DU KILIMANDJARO,2018-05-10,France 3,France,3.093292,13.6,Thursday,non
LE MUR DE L'ATLANTIQUE,2018-06-11,France 3,France,3.034928,13.2,Monday,non
LA RITOURNELLE,2018-03-01,France 3,France,2.789376,11.2,Thursday,non
LA PROCHAINE FOIS JE VISERAI LE COEUR,2018-01-11,France 3,France,2.731264,11.1,Thursday,non
L'ARMEE DES OMBRES,2018-06-04,France 3,France,2.62638,12.3,Monday,non
"36, QUAI DES ORFEVRES",2018-01-18,France 3,France,2.498816,10.3,Thursday,non
VERY BAD TRIP,2018-07-16,France 3,Etats-Unis,2.217832,10.6,Monday,oui
DANSE AVEC LES LOUPS,2018-12-27,France 3,Etats-Unis,2.217832,11.5,Thursday,oui
"MISSION : IMPOSSIBLE, PROTOCOLE FANTOME",2018-03-21,France 4,Etats-Unis,1.510912,6.3,Wednesday,non
LA CHEVRE,2018-02-21,France 4,France,1.336576,5.1,Wednesday,oui
LA NUIT AU MUSEE,2018-01-03,France 4,Etats-Unis,1.104128,4.3,Wednesday,oui
LE HOBBIT : UN VOYAGE INATTENDU,2018-09-27,France 4,,1.050552,5.8,Thursday,non
THOR,2018-11-29,France 4,Etats-Unis,1.050552,4.4,Thursday,non
"E.T., L'EXTRATERRESTRE",2018-04-25,France 4,Etats-Unis,0.987904,3.7,Wednesday,non
LES EVADES,2018-01-28,France 4,Etats-Unis,0.987904,4.2,Sunday,non
CAPTAIN AMERICA : FIRST AVENGER,2018-04-01,France 4,Etats-Unis,0.987904,4.0,Sunday,non
LE SEIGNEUR DES ANNEAUX : LES DEUX TOURS,2018-10-03,France 4,,0.933824,4.9,Wednesday,non
LE SEIGNEUR DES ANNEAUX : LE RETOUR DU ROI,2018-10-04,France 4,,0.933824,5.5,Thursday,non
UN TAXI POUR TOBROUK,2018-10-08,France 5,France,1.400736,5.7,Monday,non
LE TRAIN SIFFLERA TROIS FOIS,2018-11-26,France 5,Etats-Unis,1.284008,4.7,Monday,non
L'HORLOGER DE SAINT-PAUL,2018-09-17,France 5,France,1.050552,4.4,Monday,non
DOUZE HOMMES EN COLERE,2018-10-15,France 5,Etats-Unis,1.050552,4.3,Monday,non
UNE AFFAIRE DE FEMMES,2018-05-07,France 5,France,0.992188,4.5,Monday,non
POLICE PYTHON 357,2018-11-12,France 5,France,0.992188,4.3,Monday,non
MILLE MILLIARDS DE DOLLARS,2018-10-29,France 5,France,0.992188,4.1,Monday,oui
IL ETAIT UNE FOIS EN AMERIQUE,2018-12-17,France 5,Etats-Unis,0.992188,5.5,Monday,non
LES CHOSES DE LA VIE,2018-03-26,France 5,France,0.929792,3.3,Monday,non
LES FELINS,2018-09-10,France 5,France,0.87546,3.6,Monday,non
LA MORT AUX TROUSSES,2018-12-27,Arte,Etats-Unis,1.692556,7.6,Thursday,oui
PRESUME INNOCENT,2018-04-09,Arte,Etats-Unis,1.685248,6.4,Monday,oui
21 NUITS AVEC PATTIE,2018-04-18,Arte,France,1.510912,6.2,Wednesday,oui
L'EVADE D'ALCATRAZ,2018-12-16,Arte,Etats-Unis,1.4591,5.7,Sunday,non
LES VOLEURS,2018-10-22,Arte,France,1.4591,5.6,Monday,oui
L'HEURE D'ETE,2018-01-17,Arte,France,1.4528,5.6,Wednesday,non
COUP DE TORCHON,2018-02-12,Arte,France,1.4528,5.4,Monday,oui
LES TROIS JOURS DU CONDOR,2018-03-04,Arte,Etats-Unis,1.4528,5.8,Sunday,non
RIENS DU TOUT,2018-01-24,Arte,France,1.4528,5.5,Wednesday,non
ADIEU POULET,2018-06-10,Arte,France,1.400736,5.8,Sunday,non
SISTER ACT,2018-03-04,6ter,Etats-Unis,0.987904,4.1,Sunday,non
PIRATES DES CARAIBES : LA FONTAINE DE JOUVENCE,2018-12-09,6ter,Etats-Unis,0.817096,3.4,Sunday,non
LE GENDARME EN BALADE,2018-08-23,6ter,France,0.817096,4.3,Thursday,oui
LES INDESTRUCTIBLES,2018-04-08,6ter,Etats-Unis,0.813568,3.3,Sunday,oui
"SISTER ACT, ACTE 2",2018-03-11,6ter,Etats-Unis,0.813568,3.2,Sunday,non
PIRATES DES CARAIBES : LA MALEDICTION DU BLACK PEARL,2018-12-02,6ter,Etats-Unis,0.758732,3.4,Sunday,non
LE GENDARME SE MARIE,2018-08-16,6ter,France,0.758732,4.0,Thursday,oui
JUST MARRIED (OU PRESQUE),2018-10-04,6ter,Etats-Unis,0.700368,3.3,Thursday,non
"ROBIN DES BOIS, PRINCE DES VOLEURS",2018-11-25,6ter,Europe,0.700368,3.2,Sunday,non
LE GENDARME A NEW YORK,2018-08-09,6ter,France,0.700368,3.8,Thursday,oui
SEVEN,2018-01-08,C8,Etats-Unis,1.4528,6.5,Monday,oui
SAN ANDREAS,2018-04-02,C8,Etats-Unis,1.394688,5.9,Monday,non
TERMINATOR : GENISYS,2018-04-09,C8,Etats-Unis,1.220352,5.3,Monday,oui
LE DERNIER REMPART,2018-01-18,C8,Etats-Unis,1.220352,5.4,Thursday,non
"HUNGER GAMES : LA REVOLTE, PARTIE 2",2018-05-31,C8,Etats-Unis,1.16728,5.6,Thursday,non
X-MEN : LE COMMENCEMENT,2018-03-01,C8,Etats-Unis,1.16224,5.5,Thursday,non
BABY-SITTOR,2018-02-22,C8,Etats-Unis,1.16224,5.1,Thursday,oui
MARIAGE CHEZ LES BODIN'S,2018-11-20,C8,France,1.108916,5.1,Tuesday,non
SICARIO,2018-06-25,C8,Etats-Unis,1.108916,5.4,Monday,non
ARRETE-MOI SI TU PEUX,2018-03-05,C8,Etats-Unis,1.104128,5.8,Monday,non
"MILLENIUM, LE FILM",2018-05-24,Chérie 25,Europe,0.642004,3.4,Thursday,non
L'IVRESSE DU POUVOIR,2018-10-29,Chérie 25,France,0.642004,2.7,Monday,oui
APPARITIONS,2018-02-08,Chérie 25,Etats-Unis,0.639232,2.6,Thursday,non
THE OTHER MAN,2018-11-01,Chérie 25,Europe,0.58364,2.5,Thursday,oui
BRAVEHEART,2018-11-08,Chérie 25,Etats-Unis,0.58364,3.1,Thursday,non
LE COLLECTIONNEUR,2018-05-17,Chérie 25,Etats-Unis,0.58364,2.5,Thursday,non
DOUBLE JEU,2018-03-01,Chérie 25,Etats-Unis,0.58112,2.3,Thursday,non
HAUTE VOLTIGE,2018-02-15,Chérie 25,Etats-Unis,0.58112,2.6,Thursday,oui
PLUS JAMAIS,2018-03-15,Chérie 25,Etats-Unis,0.58112,2.3,Thursday,non
LES PLEINS POUVOIRS,2018-04-05,Chérie 25,Etats-Unis,0.58112,2.7,Thursday,non
L'IMMORTEL,2018-11-29,CStar,France,0.817096,3.5,Thursday,non
IMOGENE MCCARTHERY,2018-05-03,CStar,France,0.758732,3.0,Thursday,non
HORS DE CONTROLE,2018-05-17,CStar,Etats-Unis,0.758732,3.4,Thursday,non
"JOHNNY ENGLISH, LE RETOUR",2018-10-22,CStar,Europe,0.642004,2.4,Monday,oui
TRACERS,2018-03-08,CStar,Etats-Unis,0.639232,2.6,Thursday,non
LARA CROFT : TOMB RAIDER,2018-09-27,CStar,Etats-Unis,0.58364,2.6,Thursday,non
LE FLIC DE SAN FRANCISCO,2018-05-24,CStar,Etats-Unis,0.58364,2.7,Thursday,non
EN TERRITOIRE ENNEMI,2018-02-22,CStar,Etats-Unis,0.58112,2.4,Thursday,oui
BABY-SITTOR,2018-11-22,CStar,Etats-Unis,0.525276,2.1,Thursday,non
STAR TREK,2018-11-01,CStar,Etats-Unis,0.525276,2.6,Thursday,oui
ALVIN ET LES CHIPMUNKS 3,2018-04-26,Gulli,Etats-Unis,0.813568,3.3,Thursday,non
MUNE,2018-04-30,Gulli,France,0.700368,2.6,Monday,non
BEETHOVEN 2,2018-11-20,Gulli,Etats-Unis,0.642004,2.6,Tuesday,non
PETER PAN,2018-12-11,Gulli,Etats-Unis,0.642004,2.5,Tuesday,non
ALVIN ET LES CHIPMUNKS : A FOND LA CAISSE,2018-10-22,Gulli,Etats-Unis,0.58364,2.3,Monday,oui
DOCTEUR DOLITTLE 2,2018-12-04,Gulli,Etats-Unis,0.58364,2.4,Tuesday,non
DOCTEUR DOLITTLE,2018-11-27,Gulli,Etats-Unis,0.525276,2.1,Tuesday,non
ARTHUR ET LES MINIMOYS,2018-10-23,Gulli,France,0.525276,2.2,Tuesday,oui
GARFIELD 2,2018-02-22,Gulli,Etats-Unis,0.523008,2.2,Thursday,oui
LA BELLE AU BOIS DORMANT ET LES 7 NAINS,2018-03-01,Gulli,Europe,0.523008,2.0,Thursday,non
KISS AND KILL,2018-06-12,NRJ12,Etats-Unis,0.817096,3.4,Tuesday,non
LE PIC DE DANTE,2018-11-06,NRJ12,Etats-Unis,0.817096,3.4,Tuesday,non
SAHARA,2018-06-19,NRJ12,Europe,0.758732,3.5,Tuesday,non
LE CODE A CHANGE,2018-10-18,NRJ12,France,0.758732,3.3,Thursday,non
MISSION : IMPOSSIBLE,2018-06-26,NRJ12,Etats-Unis,0.758732,3.4,Tuesday,non
BLITZ,2018-11-22,NRJ12,Europe,0.758732,3.2,Thursday,non
LES INCORRUPTIBLES ,2018-10-02,NRJ12,Etats-Unis,0.758732,3.3,Tuesday,non
"MILLENIUM, LE FILM",2018-01-14,NRJ12,Europe,0.755456,3.6,Sunday,non
L'ATTAQUE DU METRO 123,2018-02-13,NRJ12,Etats-Unis,0.755456,3.0,Tuesday,oui
LES TROIS PROCHAINS JOURS,2018-04-03,NRJ12,Etats-Unis,0.755456,3.2,Tuesday,non
BANCS PUBLICS (VERSAILLES RIVE DROITE),2018-12-16,RMC Story,France,0.525276,2.0,Sunday,non
DETECTIVE DEE 2 : LA LEGENDE DU DRAGON DES MERS,2018-12-30,RMC Story,,0.466912,2.1,Sunday,oui
DES HOMMES SANS LOI,2018-10-14,RMC Story,Etats-Unis,0.466912,1.9,Sunday,non
BLOOD DIAMOND,2018-11-18,RMC Story,Etats-Unis,0.408548,1.7,Sunday,non
LE BAISER MORTEL DU DRAGON,2018-09-16,RMC Story,France,0.408548,1.8,Sunday,non
L'AIGLE DE LA NEUVIEME LEGION,2018-09-30,RMC Story,Europe,0.408548,1.7,Sunday,non
MASTER AND COMMANDER : DE L'AUTRE COTE DU MONDE,2018-10-07,RMC Story,Etats-Unis,0.350184,1.4,Sunday,non
"LULU, FEMME NUE",2018-12-02,RMC Story,France,0.350184,1.4,Sunday,non
POSEIDON,2018-11-25,RMC Story,Etats-Unis,0.350184,1.3,Sunday,non
MR. HOLMES,2018-10-21,RMC Story,Europe,0.29182,1.2,Sunday,oui
L'ARME FATALE 4,2018-04-05,TF1 Séries Films,Etats-Unis,1.220352,5.4,Thursday,non
L'ARME FATALE 3,2018-03-29,TF1 Séries Films,Etats-Unis,1.220352,5.3,Thursday,non
L'ARME FATALE 2,2018-03-22,TF1 Séries Films,Etats-Unis,0.987904,4.1,Thursday,non
L'ARME FATALE,2018-03-15,TF1 Séries Films,Etats-Unis,0.987904,4.0,Thursday,non
LE FUGITIF,2018-11-15,TF1 Séries Films,Etats-Unis,0.933824,4.4,Thursday,non
FURY,2018-01-29,TF1 Séries Films,Etats-Unis,0.929792,3.9,Monday,non
VOYAGE AU CENTRE DE LA TERRE 2 : L'ILE MYSTERIEUSE,2018-02-22,TF1 Séries Films,Etats-Unis,0.929792,3.9,Thursday,oui
CREANCE DE SANG,2018-02-05,TF1 Séries Films,Etats-Unis,0.87168,3.3,Monday,non
L'EFFACEUR,2018-03-25,TF1 Séries Films,Etats-Unis,0.87168,3.5,Sunday,non
ANGES ET DEMONS,2018-04-22,TF1 Séries Films,Etats-Unis,0.87168,4.0,Sunday,oui
BIENVENUE A MARLY-GOMONT,2018-12-30,TFX,France,1.225644,5.1,Sunday,oui
FAST AND FURIOUS 7,2018-01-30,TFX,Etats-Unis,0.987904,4.4,Tuesday,non
OBLIVION,2018-02-15,TFX,Etats-Unis,0.987904,4.5,Thursday,oui
ROBIN DES BOIS,2018-11-25,TFX,Europe,0.933824,4.0,Sunday,non
LE PARI,2018-10-21,TFX,France,0.87546,3.4,Sunday,oui
PALAIS ROYAL !,2018-05-22,TFX,France,0.87546,3.5,Tuesday,non
GLADIATOR,2018-05-13,TFX,Etats-Unis,0.87546,3.9,Sunday,non
JOKER,2018-10-07,TFX,Etats-Unis,0.87546,3.5,Sunday,non
FAST AND FURIOUS 5,2018-02-06,TFX,Etats-Unis,0.87168,3.7,Tuesday,non
VOISINS DU TROISIEME TYPE,2018-11-08,TFX,Etats-Unis,0.817096,3.6,Thursday,non
JURASSIC WORLD,2018-11-26,TMC,Etats-Unis,1.809284,7.8,Monday,non
LE TRANSPORTEUR 2,2018-04-02,TMC,France,1.627136,6.3,Monday,non
JURASSIC PARK 3,2018-12-17,TMC,Etats-Unis,1.4591,6.0,Monday,non
SALT,2018-03-08,TMC,Etats-Unis,1.4528,6.1,Thursday,non
HARRY POTTER ET LA COUPE DE FEU,2018-04-23,TMC,Europe,1.4528,7.8,Monday,oui
HARRY POTTER ET LE PRISONNIER D'AZKABAN,2018-04-16,TMC,Europe,1.4528,6.3,Monday,oui
LE MONDE PERDU,2018-12-10,TMC,Etats-Unis,1.400736,6.2,Monday,non
AVENGERS : L'ERE D'ULTRON,2018-04-26,TMC,Etats-Unis,1.394688,7.0,Thursday,non
EXPENDABLES 3,2018-10-08,TMC,Etats-Unis,1.342372,6.6,Monday,non
STAR WARS EPISODE 7 : LE REVEIL DE LA FORCE,2018-11-19,TMC,Etats-Unis,1.342372,6.4,Monday,non
RED,2018-11-12,W9,Etats-Unis,2.04274,8.7,Monday,non
RED 2,2018-11-19,W9,Etats-Unis,1.926012,7.9,Monday,non
RASTA ROCKETT,2018-03-01,W9,Etats-Unis,1.74336,7.1,Thursday,non
KINGSMAN : SERVICES SECRETS,2018-06-10,W9,Europe,1.634192,7.4,Sunday,non
DIVERGENTE 3 : AU-DELA DU MUR,2018-10-29,W9,Etats-Unis,1.575828,6.6,Monday,oui
LA CHUTE DE LA MAISON BLANCHE,2018-01-29,W9,Etats-Unis,1.510912,6.1,Monday,non
IRON MAN 3,2018-12-03,W9,Etats-Unis,1.4591,6.1,Monday,non
PREMONITIONS,2018-03-26,W9,Etats-Unis,1.4528,5.5,Monday,non
DIVERGENTE 2 : L'INSURRECTION,2018-10-22,W9,Etats-Unis,1.400736,5.6,Monday,oui
LE FLIC DE BEVERLY HILLS,2018-01-02,W9,Etats-Unis,1.394688,5.4,Tuesday,oui
QU'EST-CE QU ON A FAIT AU BON DIEU,2018-12-09,TF1,France,8.637872,34.0,Sunday,non
LES TUCHE,2018-02-04,TF1,France,7.670784,28.8,Sunday,non
RIEN A DECLARER,2018-03-11,TF1,France,7.147776,28.8,Sunday,non
RETOUR CHEZ MA MERE,2018-10-07,TF1,France,6.828588,27.3,Sunday,non
LE NOUVEAU STAGIAIRE,2018-03-25,TF1,Etats-Unis,6.508544,27.0,Sunday,non
LE LABYRINTHE,2018-02-11,TF1,Etats-Unis,6.217984,24.7,Sunday,oui
EYJAFJALLAJOKULL,2018-05-13,TF1,France,6.186584,25.1,Sunday,non
LE LABYRINTHE : LA TERRE BRULEE,2018-02-18,TF1,Etats-Unis,6.10176,25.8,Sunday,oui
LES TUCHE 2,2018-11-25,TF1,France,6.011492,24.2,Sunday,non
L'AGE DE GLACE 5,2018-12-23,TF1,Etats-Unis,5.778036,23.6,Sunday,oui
CENDRILLON,2018-01-04,M6,Europe,4.474624,18.5,Thursday,oui
A LA POURSUITE DE DEMAIN,2018-01-01,M6,Etats-Unis,4.06784,17.3,Monday,oui
ASTERIX : LE DOMAINE DES DIEUX,2018-12-25,M6,France,3.910388,17.8,Tuesday,oui
RED 2,2018-03-19,M6,Etats-Unis,3.48672,14.1,Monday,non
RATATOUILLE,2018-04-30,M6,Etats-Unis,3.385112,13.9,Monday,non
BELLE ET SEBASTIEN,2018-02-13,M6,France,3.370496,13.9,Tuesday,oui
VICE-VERSA,2018-04-01,M6,Etats-Unis,3.370496,13.9,Sunday,non
RED,2018-03-12,M6,Etats-Unis,3.138048,12.8,Monday,non
DIE HARD 4 : RETOUR EN ENFER,2018-05-14,M6,Etats-Unis,2.9182,13.0,Monday,non
BABYSITTING 2,2018-04-24,M6,France,2.9056,11.6,Tuesday,non
LES TUCHE 3,2018-12-28,Canal +,France,1.75092,7.5,Friday,oui
A FOND,2018-01-01,Canal +,France,0.987904,3.8,Monday,oui
THOR : RAGNAROK,2018-09-07,Canal +,Etats-Unis,0.933824,4.3,Friday,non
LE ROI ARTHUR : LA LEGENDE D'EXCALIBUR,2018-04-13,Canal +,Europe,0.929792,3.8,Friday,oui
ALIBI.COM,2018-01-19,Canal +,France,0.929792,3.7,Friday,non
STAR WARS : LES DERNIERS JEDI,2018-12-14,Canal +,Etats-Unis,0.87546,4.5,Friday,non
LE CRIME DE L'ORIENT-EXPRESS,2018-11-09,Canal +,Europe,0.87546,3.9,Friday,non
KONG : SKULL ISLAND,2018-01-12,Canal +,Etats-Unis,0.87168,3.6,Friday,non
WONDER WOMAN,2018-06-08,Canal +,Europe,0.817096,3.9,Friday,non
DUNKERQUE,2018-06-29,Canal +,Europe,0.700368,3.6,Friday,non
LA GRANDE VADROUILLE,2019-04-21,France 2,France,4.727484,22.0,Sunday,oui
GONE GIRL,2019-02-03,France 2,Etats-Unis,4.027116,17.7,Sunday,non
IL A DEJA TES YEUX,2019-06-09,France 2,France,3.94604,18.4,Sunday,non
NIGHT AND DAY,2019-02-10,France 2,Etats-Unis,3.910388,16.0,Sunday,oui
LE CORNIAUD,2019-03-03,France 2,France,3.79366,15.7,Sunday,non
JACK REACHER : NEVER GO BACK,2019-03-24,France 2,Etats-Unis,3.618568,15.5,Sunday,non
TELLEMENT PROCHES,2019-12-01,France 2,France,3.59786,15.0,Sunday,non
THE REVENANT,2019-03-10,France 2,Etats-Unis,3.50184,16.1,Sunday,non
LE PETIT LOCATAIRE,2019-09-15,France 2,France,3.4818,16.4,Sunday,non
"TELLE MERE, TELLE FILLE",2019-11-17,France 2,France,3.4818,13.9,Sunday,non
PIECE MONTEE,2019-04-25,France 3,France,2.9182,12.4,Thursday,oui
LE CRIME EST NOTRE AFFAIRE,2019-06-27,France 3,France,2.84347,14.5,Thursday,non
LA VACHE,2019-10-17,France 3,France,2.84347,12.8,Thursday,non
LE JOUR LE PLUS LONG,2019-06-03,France 3,Etats-Unis,2.78544,14.7,Monday,non
JACK REACHER,2019-11-28,France 3,Etats-Unis,2.66938,12.1,Thursday,non
UNE FAMILLE A LOUER,2019-05-02,France 3,France,2.61135,10.8,Thursday,non
MORT OU VIF,2019-08-12,France 3,Etats-Unis,2.55332,13.7,Monday,oui
POTICHE,2019-05-09,France 3,France,2.55332,11.0,Thursday,non
LE MAJORDOME,2019-01-03,France 3,Etats-Unis,2.509652,10.9,Thursday,oui
LE FILS DE JEAN,2019-09-19,France 3,France,2.49529,11.0,Thursday,non
LE CINQUIEME ELEMENT,2019-04-24,France 4,France,1.400736,5.9,Wednesday,oui
AVANT TOI,2019-01-06,France 4,Europe,1.16728,4.7,Sunday,oui
DRAGONS 2,2019-02-20,France 4,Etats-Unis,1.108916,4.6,Wednesday,oui
LES MINIONS,2019-10-30,France 4,Etats-Unis,1.04454,4.4,Wednesday,oui
INDEPENDENCE DAY,2019-03-31,France 4,Etats-Unis,0.992188,4.5,Sunday,non
MINUSCULE : LA VALLEE DES FOURMIS PERDUES,2019-02-19,France 4,France,0.992188,3.8,Tuesday,oui
PERMIS DE TUER,2019-11-20,France 4,Etats-Unis,0.98651,4.3,Wednesday,non
TUER N'EST PAS JOUER,2019-11-13,France 4,Europe,0.98651,4.2,Wednesday,non
INDEPENDENCE DAY,2019-10-29,France 4,Etats-Unis,0.92848,4.1,Tuesday,oui
RIEN QUE POUR VOS YEUX,2019-11-06,France 4,Europe,0.92848,3.9,Wednesday,non
DELIVRANCE,2019-05-13,France 5,Etats-Unis,1.1606,5.0,Monday,non
CHARADE,2019-03-25,France 5,Etats-Unis,1.108916,4.4,Monday,non
LA FEMME D'A COTE,2019-05-20,France 5,France,1.10257,4.4,Monday,non
BUFFET FROID,2019-05-06,France 5,France,1.04454,4.7,Monday,non
LE DOULOS,2019-09-30,France 5,France,1.04454,4.4,Monday,non
WITNESS,2019-12-09,France 5,Etats-Unis,0.98651,3.7,Monday,non
Y A-T-IL UN FRANCAIS DANS LA SALLE ?,2019-08-12,France 5,France,0.92848,4.8,Monday,oui
PAS DE PRINTEMPS POUR MARNIE,2019-09-09,France 5,Etats-Unis,0.92848,4.3,Monday,non
MAX ET LES FERRAILLEURS,2019-10-14,France 5,France,0.92848,3.9,Monday,non
LA FIANCEE DU PIRATE,2019-09-02,France 5,France,0.87045,3.9,Monday,oui
BIENVENUE CHEZ LES CH'TIS,2019-05-26,TF1,France,6.73148,30.9,Sunday,non
RAID DINGUE,2019-09-08,TF1,France,6.55739,30.5,Sunday,non
INTOUCHABLES,2019-10-06,TF1,France,6.55739,29.2,Sunday,non
ALIBI.COM,2019-06-16,TF1,France,6.20921,28.7,Sunday,non
SULLY,2019-05-19,TF1,Etats-Unis,6.20921,27.1,Sunday,non
RADIN !,2019-02-03,TF1,France,6.12822,24.3,Sunday,non
TARZAN,2019-02-17,TF1,Europe,6.011492,25.3,Sunday,oui
DEMAIN TOUT COMMENCE,2019-05-12,TF1,France,5.97709,26.9,Sunday,non
LUCY,2019-03-31,TF1,France,5.778036,24.1,Sunday,non
LA MOMIE,2019-11-24,TF1,Etats-Unis,5.62891,24.0,Sunday,non
QU'EST-CE QU ON A FAIT AU BON DIEU,2019-02-07,TMC,France,2.9182,13.6,Thursday,non
STAR WARS EPISODE 3 : LA REVANCHE DES SITH,2019-12-16,TMC,Etats-Unis,1.79893,9.2,Monday,non
LES VISITEURS,2019-05-16,TMC,France,1.56681,7.0,Thursday,non
AGENTS PRESQUE SECRETS,2019-04-08,TMC,Etats-Unis,1.517464,6.8,Monday,non
INDEPENDENCE DAY : RESURGENCE,2019-04-01,TMC,Etats-Unis,1.4591,6.4,Monday,non
HARRY POTTER ET LES RELIQUES DE LA MORT (2EME PARTIE),2019-05-09,TMC,Europe,1.45075,6.8,Thursday,non
STAR WARS EPISODE 1 : LA MENACE FANTOME,2019-12-02,TMC,Etats-Unis,1.45075,6.5,Monday,non
HARRY POTTER ET L'ORDRE DU PHENIX,2019-04-18,TMC,Europe,1.400736,7.0,Thursday,oui
STAR WARS EPISODE 2 : L'ATTAQUE DES CLONES,2019-12-09,TMC,Etats-Unis,1.39272,6.6,Monday,non
EXPENDABLES 3,2019-05-27,TMC,Etats-Unis,1.39272,6.1,Monday,non
ASSASSIN'S CREED,2019-05-23,TFX,Etats-Unis,1.10257,4.9,Thursday,non
KUNG FU PANDA 3,2019-02-21,TFX,Etats-Unis,1.050552,4.5,Thursday,oui
JURASSIC PARK 3,2019-10-17,TFX,Etats-Unis,1.04454,4.9,Thursday,non
UN INDIEN DANS LA VILLE,2019-10-01,TFX,France,1.04454,4.6,Tuesday,non
LA 5EME VAGUE,2019-04-07,TFX,Etats-Unis,0.992188,4.1,Sunday,non
LA MOMIE : LA TOMBE DE L'EMPEREUR DRAGON,2019-01-24,TFX,Etats-Unis,0.933824,4.0,Thursday,non
RETOUR VERS LE FUTUR 3,2019-06-27,TFX,Etats-Unis,0.92848,4.9,Thursday,non
CHAOS,2019-07-14,TFX,Europe,0.92848,4.9,Sunday,oui
LE PRIX A PAYER,2019-01-03,TFX,France,0.87546,3.6,Thursday,oui
RETOUR VERS LE FUTUR,2019-06-13,TFX,Etats-Unis,0.87045,3.8,Thursday,non
L'ARME FATALE 3,2019-03-28,TF1 Séries Films,Etats-Unis,0.992188,4.6,Thursday,non
L'ARME FATALE,2019-03-14,TF1 Séries Films,Etats-Unis,0.992188,4.3,Thursday,non
L'ARME FATALE 4,2019-04-04,TF1 Séries Films,Etats-Unis,0.933824,4.2,Thursday,non
L'ARME FATALE 2,2019-03-21,TF1 Séries Films,Etats-Unis,0.933824,4.2,Thursday,non
CODE MERCURY,2019-01-17,TF1 Séries Films,Etats-Unis,0.933824,4.1,Thursday,non
2012,2019-05-07,TF1 Séries Films,Etats-Unis,0.87045,4.3,Tuesday,non
FURY,2019-06-06,TF1 Séries Films,Etats-Unis,0.87045,4.1,Thursday,non
LE BOULANGER DE VALORGUE,2019-05-14,TF1 Séries Films,France,0.87045,3.6,Tuesday,non
2 GUNS,2019-03-07,TF1 Séries Films,Etats-Unis,0.758732,3.5,Thursday,non
DEUX HEURES MOINS LE QUART AVANT JESUS-CHRIST,2019-04-28,TF1 Séries Films,France,0.758732,3.3,Sunday,oui
LE ROI LION,2019-07-15,M6,Etats-Unis,4.70043,22.4,Monday,oui
LA FAMILLE BELIER,2019-02-28,M6,France,4.435664,19.5,Thursday,non
ASTERIX ET OBELIX : AU SERVICE DE SA MAJESTE,2019-10-24,M6,France,4.00407,18.4,Thursday,oui
INSAISISSABLES,2019-01-07,M6,Etats-Unis,3.443476,14.6,Monday,oui
LA REINE DES NEIGES,2019-12-23,M6,Etats-Unis,3.42377,15.0,Monday,oui
INSAISISSABLES 2,2019-01-14,M6,Etats-Unis,3.268384,14.6,Monday,non
PAPA OU MAMAN 2,2019-07-01,M6,France,3.24968,15.4,Monday,non
LE LIVRE DE LA JUNGLE,2019-04-21,M6,Etats-Unis,3.093292,14.1,Sunday,oui
BELLE ET SEBASTIEN : L'AVENTURE CONTINUE,2019-01-01,M6,France,2.976564,13.1,Tuesday,oui
UN HOMME A LA HAUTEUR,2019-01-31,M6,France,2.9182,12.5,Thursday,non
DIE HARD 4 : RETOUR EN ENFER,2019-10-07,W9,Etats-Unis,1.62484,7.1,Monday,non
L'AGE DE GLACE 2,2019-02-18,W9,Etats-Unis,1.342372,5.4,Monday,oui
EVASION,2019-04-01,W9,Etats-Unis,1.284008,5.2,Monday,non
58 MINUTES POUR VIVRE,2019-03-18,W9,Etats-Unis,1.225644,4.9,Monday,non
UNE JOURNEE EN ENFER,2019-03-25,W9,Etats-Unis,1.16728,4.9,Monday,non
L'AGE DE GLACE 3,2019-02-25,W9,Etats-Unis,1.16728,4.8,Monday,oui
ASTERIX CHEZ LES BRETONS,2019-07-09,W9,France,1.1606,5.7,Tuesday,oui
PREMONITIONS,2019-06-03,W9,Etats-Unis,1.1606,5.2,Monday,non
DEEPWATER,2019-09-16,W9,Etats-Unis,1.1606,5.1,Monday,non
BLOOD FATHER,2019-05-20,W9,France,1.1606,4.8,Monday,non
LA BELLE ET LE CLOCHARD,2019-04-16,6ter,Etats-Unis,1.16728,4.6,Tuesday,oui
BAMBI,2019-04-23,6ter,Etats-Unis,0.87546,3.5,Tuesday,oui
BENJAMIN GATES ET LE TRESOR DES TEMPLIERS,2019-09-01,6ter,Etats-Unis,0.87045,4.5,Sunday,oui
ARMAGEDDON,2019-04-07,6ter,Etats-Unis,0.817096,3.8,Sunday,non
BRAQUAGE A L'ITALIENNE,2019-11-17,6ter,Etats-Unis,0.81242,3.5,Sunday,non
"TWILIGHT CHAPITRE 4 : REVELATION, 1ERE PARTIE",2019-01-27,6ter,Etats-Unis,0.758732,3.2,Sunday,non
REBELLE,2019-02-10,6ter,Etats-Unis,0.758732,3.0,Sunday,oui
LE LIVRE DE LA JUNGLE,2019-04-28,6ter,Etats-Unis,0.700368,3.0,Sunday,oui
"TWILIGHT CHAPITRE 5 : REVELATION, 2EME PARTIE",2019-02-03,6ter,Etats-Unis,0.700368,2.8,Sunday,non
TOY STORY 3,2019-06-25,6ter,Etats-Unis,0.69636,3.3,Tuesday,non
