TITRE;Date de diffusion;Chaîne;Nationalité;Téléspectateurs (en millions);Part d'audience (en %)
BUFFET FROID;06/05/2019;France 5;France;1,04454;4,7
LE DOULOS;30/09/2019;France 5;France;1,04454;4,4
WITNESS;09/12/2019;France 5;Etats-Unis;0,98651;3,7
Y A-T-IL UN FRANCAIS DANS LA SALLE ?;12/08/2019;France 5;France;0,92848;4,8
PAS DE PRINTEMPS POUR MARNIE;09/09/2019;France 5;Etats-Unis;0,92848;4,3
MAX ET LES FERRAILLEURS;14/10/2019;France 5;France;0,92848;3,9
LA FIANCEE DU PIRATE;02/09/2019;France 5;France;0,87045;3,9
BIENVENUE CHEZ LES CH'TIS;26/05/2019;TF1;France;6,73148;30,9
RAID DINGUE;08/09/2019;TF1;France;6,55739;30,5
INTOUCHABLES;06/10/2019;TF1;France;6,55739;29,2
ALIBI.COM;16/06/2019;TF1;France;6,20921;28,7
SULLY;19/05/2019;TF1;Etats-Unis;6,20921;27,1
RADIN !;03/02/2019;TF1;France;6,12822;24,3
TARZAN;17/02/2019;TF1;Europe;6,011492;25,3
DEMAIN TOUT COMMENCE;12/05/2019;TF1;France;5,97709;26,9
LUCY;31/03/2019;TF1;France;5,778036;24,1
LA MOMIE;24/11/2019;TF1;Etats-Unis;5,62891;24
QU'EST-CE QU ON A FAIT AU BON DIEU;07/02/2019;TMC;France;2,9182;13,6
STAR WARS EPISODE 3 : LA REVANCHE DES SITH;16/12/2019;TMC;Etats-Unis;1,79893;9,2
LES VISITEURS;16/05/2019;TMC;France;1,56681;7
AGENTS PRESQUE SECRETS;08/04/2019;TMC;Etats-Unis;1,517464;6,8
INDEPENDENCE DAY : RESURGENCE;01/04/2019;TMC;Etats-Unis;1,4591;6,4
HARRY POTTER ET LES RELIQUES DE LA MORT (2EME PARTIE);09/05/2019;TMC;Europe;1,45075;6,8
STAR WARS EPISODE 1 : LA MENACE FANTOME;02/12/2019;TMC;Etats-Unis;1,45075;6,5
HARRY POTTER ET L'ORDRE DU PHENIX;18/04/2019;TMC;Europe;1,400736;7
STAR WARS EPISODE 2 : L'ATTAQUE DES CLONES;09/12/2019;TMC;Etats-Unis;1,39272;6,6
EXPENDABLES 3;27/05/2019;TMC;Etats-Unis;1,39272;6,1
ASSASSIN'S CREED;23/05/2019;TFX;Etats-Unis;1,10257;4,9
KUNG FU PANDA 3;21/02/2019;TFX;Etats-Unis;1,050552;4,5
JURASSIC PARK 3;17/10/2019;TFX;Etats-Unis;1,04454;4,9
UN INDIEN DANS LA VILLE;01/10/2019;TFX;France;1,04454;4,6
LA 5EME VAGUE;07/04/2019;TFX;Etats-Unis;0,992188;4,1
LA MOMIE : LA TOMBE DE L'EMPEREUR DRAGON;24/01/2019;TFX;Etats-Unis;0,933824;4
RETOUR VERS LE FUTUR 3;27/06/2019;TFX;Etats-Unis;0,92848;4,9
CHAOS;14/07/2019;TFX;Europe;0,92848;4,9
LE PRIX A PAYER;03/01/2019;TFX;France;0,87546;3,6
RETOUR VERS LE FUTUR;13/06/2019;TFX;Etats-Unis;0,87045;3,8
L'ARME FATALE 3;28/03/2019;TF1 Séries Films;Etats-Unis;0,992188;4,6
L'ARME FATALE;14/03/2019;TF1 Séries Films;Etats-Unis;0,992188;4,3
L'ARME FATALE 4;04/04/2019;TF1 Séries Films;Etats-Unis;0,933824;4,2
L'ARME FATALE 2;21/03/2019;TF1 Séries Films;Etats-Unis;0,933824;4,2
CODE MERCURY;17/01/2019;TF1 Séries Films;Etats-Unis;0,933824;4,1
2012;07/05/2019;TF1 Séries Films;Etats-Unis;0,87045;4,3
FURY;06/06/2019;TF1 Séries Films;Etats-Unis;0,87045;4,1
LE BOULANGER DE VALORGUE;14/05/2019;TF1 Séries Films;France;0,87045;3,6
2 GUNS;07/03/2019;TF1 Séries Films;Etats-Unis;0,758732;3,5
DEUX HEURES MOINS LE QUART AVANT JESUS-CHRIST;28/04/2019;TF1 Séries Films;France;0,758732;3,3
LE ROI LION;15/07/2019;M6;Etats-Unis;4,70043;22,4
LA FAMILLE BELIER;28/02/2019;M6;France;4,435664;19,5
ASTERIX ET OBELIX : AU SERVICE DE SA MAJESTE;24/10/2019;M6;France;4,00407;18,4
INSAISISSABLES;07/01/2019;M6;Etats-Unis;3,443476;14,6
LA REINE DES NEIGES;23/12/2019;M6;Etats-Unis;3,42377;15
INSAISISSABLES 2;14/01/2019;M6;Etats-Unis;3,268384;14,6
PAPA OU MAMAN 2;01/07/2019;M6;France;3,24968;15,4
LE LIVRE DE LA JUNGLE;21/04/2019;M6;Etats-Unis;3,093292;14,1
BELLE ET SEBASTIEN : L'AVENTURE CONTINUE;01/01/2019;M6;France;2,976564;13,1
UN HOMME A LA HAUTEUR;31/01/2019;M6;France;2,9182;12,5
DIE HARD 4 : RETOUR EN ENFER;07/10/2019;W9;Etats-Unis;1,62484;7,1
L'AGE DE GLACE 2;18/02/2019;W9;Etats-Unis;1,342372;5,4
EVASION;01/04/2019;W9;Etats-Unis;1,284008;5,2
58 MINUTES POUR VIVRE;18/03/2019;W9;Etats-Unis;1,225644;4,9
UNE JOURNEE EN ENFER;25/03/2019;W9;Etats-Unis;1,16728;4,9
L'AGE DE GLACE 3;25/02/2019;W9;Etats-Unis;1,16728;4,8
ASTERIX CHEZ LES BRETONS;09/07/2019;W9;France;1,1606;5,7
PREMONITIONS;03/06/2019;W9;Etats-Unis;1,1606;5,2
DEEPWATER;16/09/2019;W9;Etats-Unis;1,1606;5,1
BLOOD FATHER;20/05/2019;W9;France;1,1606;4,8
LA BELLE ET LE CLOCHARD;16/04/2019;6ter;Etats-Unis;1,16728;4,6
BAMBI;23/04/2019;6ter;Etats-Unis;0,87546;3,5
BENJAMIN GATES ET LE TRESOR DES TEMPLIERS;01/09/2019;6ter;Etats-Unis;0,87045;4,5
ARMAGEDDON;07/04/2019;6ter;Etats-Unis;0,817096;3,8
BRAQUAGE A L'ITALIENNE;17/11/2019;6ter;Etats-Unis;0,81242;3,5
TWILIGHT CHAPITRE 4 : REVELATION, 1ERE PARTIE;27/01/2019;6ter;Etats-Unis;0,758732;3,2
REBELLE;10/02/2019;6ter;Etats-Unis;0,758732;3
LE LIVRE DE LA JUNGLE;28/04/2019;6ter;Etats-Unis;0,700368;3
TWILIGHT CHAPITRE 5 : REVELATION, 2EME PARTIE;03/02/2019;6ter;Etats-Unis;0,700368;2,8
TOY STORY 3;25/06/2019;6ter;Etats-Unis;0,69636;3,3
GREMLINS;05/02/2019;Gulli;Etats-Unis;0,58364;2,5
LES GOONIES;12/03/2019;Gulli;Etats-Unis;0,58364;2,5
GREMLINS 2;12/02/2019;Gulli;Etats-Unis;0,58364;2,4
LE COUP DU PARAPLUIE;20/10/2019;Gulli;France;0,5803;2,7
LES AVENTURES D'ARSENE LUPIN;06/05/2019;Gulli;France;0,5803;2,6
TURBO;07/05/2019;Gulli;Etats-Unis;0,5803;2,5
LE LORAX;09/04/2019;Gulli;Etats-Unis;0,525276;1,9
BELLE ET SEBASTIEN;07/11/2019;Gulli;France;0,52227;2,4
BEETHOVEN 2;17/09/2019;Gulli;Etats-Unis;0,52227;2,3
CHICKEN RUN;03/01/2019;Gulli;Europe;0,466912;1,9
AVENGERS : ENDGAME;25/12/2019;Canal +;Etats-Unis;0,92848;5,1
ALL INCLUSIVE;20/12/2019;Canal +;France;0,87045;3,8
LE RETOUR DU HEROS;04/01/2019;Canal +;France;0,817096;3,3
ASTERIX : LE SECRET DE LA POTION MAGIQUE;18/10/2019;Canal +;France;0,81242;3,4
AVENGERS : INFINITY WAR;26/04/2019;Canal +;Etats-Unis;0,758732;3,5
RAMPAGE : HORS DE CONTROLE;08/02/2019;Canal +;Etats-Unis;0,758732;3,3
LA MULE;29/10/2019;Canal +;Etats-Unis;0,75439;3,1
DEADPOOL 2;15/02/2019;Canal +;Etats-Unis;0,700368;3,1
TAXI 5;25/01/2019;Canal +;France;0,700368;2,9
BLACK PANTHER;11/01/2019;Canal +;Etats-Unis;0,700368;2,8
HOMEFRONT;22/04/2019;C8;Etats-Unis;1,575828;7,7
BALADE ENTRE LES TOMBES;10/06/2019;C8;Etats-Unis;1,39272;6,5
L'AGENCE TOUS RISQUES;01/04/2019;C8;Etats-Unis;1,284008;5,7
JOHN WICK;04/02/2019;C8;Etats-Unis;1,225644;5,6
TERMINATOR : GENISYS;11/03/2019;C8;Etats-Unis;1,16728;5,3
RAMBO III;14/10/2019;C8;Etats-Unis;1,1606;5,2
SHOOTER, TIREUR D'ELITE;08/04/2019;C8;Etats-Unis;1,108916;5,4
STAR TREK : SANS LIMITES;29/04/2019;C8;Etats-Unis;1,10257;5,5
BALADE ENTRE LES TOMBES;07/01/2019;C8;Etats-Unis;1,050552;4,8
NON-STOP;15/04/2019;C8;Europe;1,050552;4,7
MARIAGE CHEZ LES BODIN'S;22/04/2019;CStar;France;0,87546;3,9
AMELIE AU PAYS DES BODIN'S;29/04/2019;CStar;France;0,75439;3,3
G.I. JOE : CONSPIRATION;11/04/2019;CStar;Etats-Unis;0,700368;3,1
X-MEN, L'AFFRONTEMENT FINAL;16/05/2019;CStar;Etats-Unis;0,63833;2,7
LE JOUR OU LA TERRE S'ARRETA;25/04/2019;CStar;Etats-Unis;0,58364;2,6
TRANSFORMERS : L'AGE DE L'EXTINCTION;23/05/2019;CStar;Etats-Unis;0,5803;3
LES 4 FANTASTIQUES;10/10/2019;CStar;Etats-Unis;0,5803;2,6
LES 4 FANTASTIQUES ET LE SURFER D'ARGENT;17/10/2019;CStar;Etats-Unis;0,5803;2,5
FLIGHT;28/03/2019;CStar;Etats-Unis;0,525276;2,7
I, ROBOT;19/09/2019;CStar;Etats-Unis;0,52227;2,5
LE NOUVEAU PROTOCOLE;20/08/2019;NRJ12;France;0,87045;4,5
OTAGE;31/01/2019;NRJ12;Etats-Unis;0,817096;3,5
LE COLLECTIONNEUR;10/01/2019;NRJ12;Etats-Unis;0,758732;3,3
ON L'APPELLE TRINITA;30/07/2019;NRJ12;France;0,75439;4,1
LA LEGENDE DE ZORRO;10/12/2019;NRJ12;Etats-Unis;0,69636;3,2
LA CHUTE DE LA MAISON BLANCHE;15/12/2019;NRJ12;Etats-Unis;0,69636;2,9
LE DERNIER DES TEMPLIERS;17/01/2019;NRJ12;Etats-Unis;0,642004;2,9
ON CONTINUE A L'APPELER TRINITA;06/08/2019;NRJ12;France;0,63833;3,9
MONSIEUR PAPA;11/07/2019;NRJ12;France;0,63833;3,4
LES TROIS MOUSQUETAIRES;09/07/2019;NRJ12;France;0,63833;3,3
LE GRAND ALIBI;26/12/2019;Chérie 25;France;0,75439;3,5
LA MOME;27/05/2019;Chérie 25;France;0,75439;3,5
DOUBLE JEU;02/05/2019;Chérie 25;Etats-Unis;0,75439;3,1
IMOGENE MCCARTHERY;21/01/2019;Chérie 25;France;0,700368;2,7
L'ECHANGE;12/12/2019;Chérie 25;Etats-Unis;0,69636;3,4
SIXIEME SENS;17/01/2019;Chérie 25;Etats-Unis;0,642004;2,9
3 COEURS;08/04/2019;Chérie 25;France;0,58364;2,3
EMBRASSEZ QUI VOUS VOUDREZ;01/04/2019;Chérie 25;France;0,58364;2,3
DE ROUILLE ET D'OS;03/06/2019;Chérie 25;France;0,5803;2,7
SWITCH;09/05/2019;Chérie 25;France;0,5803;2,5
MAN ON FIRE;19/12/2019;RMC Story;Etats-Unis;0,69636;3,4
RAIN MAN;17/02/2019;RMC Story;Etats-Unis;0,408548;1,9
DES HOMMES ET DES DIEUX;06/01/2019;RMC Story;France;0,408548;1,7
NEGOCIATEUR;18/08/2019;RMC Story;Etats-Unis;0,40621;2,1
DETECTIVE DEE 2 : LA LEGENDE DU DRAGON DES MERS;05/05/2019;RMC Story;autres nationalités;0,40621;1,9
MA PART DU GATEAU;26/12/2019;RMC Story;France;0,40621;1,8
PRESUME COUPABLE;15/12/2019;RMC Story;France;0,40621;1,6
LE BAISER MORTEL DU DRAGON;21/04/2019;RMC Story;France;0,350184;1,6
LA TAUPE;27/01/2019;RMC Story;France;0,350184;1,5
MIAMI VICE;03/03/2019;RMC Story;Etats-Unis;0,350184;1,4
IMPITOYABLE;24/02/2019;Arte;Etats-Unis;2,33456;9,9
DANS LA BRUME ELECTRIQUE;13/10/2019;Arte;France;1,97302;8,5
LE BOUCHER;18/02/2019;Arte;France;1,809284;7,2
NEVADA SMITH;16/06/2019;Arte;Etats-Unis;1,79893;8,5
LE CRIME ETAIT PRESQUE PARFAIT;03/01/2019;Arte;Etats-Unis;1,634192;6,7
IRREPROCHABLE;16/01/2019;Arte;France;1,575828;6,6
QUAI D'ORSAY;09/10/2019;Arte;France;1,56681;6,8
L'HOMME DE LA PLAINE;21/10/2019;Arte;Etats-Unis;1,56681;6
LA CEREMONIE;17/02/2019;Arte;France;1,517464;6,3
LADY CHATTERLEY;16/10/2019;Arte;France;1,50878;7,4
LES CHORISTES;22/03/2020;France 2;France;5,39679;19,3
LA FOLIE DES GRANDEURS;12/04/2020;France 2;France;5,39679;18,6
LES TONTONS FLINGUEURS;05/01/2020;France 2;France;5,10664;21,9
SKYFALL;29/11/2020;France 2;Europe;5,014854;21,2
007 SPECTRE;06/12/2020;France 2;Europe;4,89957;21,1
JAMES BOND 007 CONTRE DOCTEUR NO;01/11/2020;France 2;Europe;4,553718;18,3
LE BRIO;24/05/2020;France 2;France;4,553718;17,4
MISSION : IMPOSSIBLE, PROTOCOLE FANTOME;10/05/2020;France 2;Etats-Unis;4,32315;17,2
L'ECOLE BUISSONNIERE;23/02/2020;France 2;France;4,29422;18,2
PAPY FAIT DE LA RESISTANCE;29/03/2020;France 2;France;4,29422;15,6
LE MUR DE L'ATLANTIQUE;18/06/2020;France 3;France;4,150224;18,3
UN ELEPHANT CA TROMPE ENORMEMENT;23/12/2020;France 3;France;3,74673;14,6
LES SOUVENIRS;10/09/2020;France 3;France;3,17031;13,4
BON RETABLISSEMENT;02/01/2020;France 3;France;3,13362;13,7
LES GRANDS ESPRITS;16/04/2020;France 3;France;2,95953;11
LE RETOUR DU HEROS;22/10/2020;France 3;France;2,824458;11,5
9 MOIS FERME;23/04/2020;France 3;France;2,78544;9,9
LES SEPT MERCENAIRES;05/11/2020;France 3;Etats-Unis;2,766816;11,7
MES HEROS;29/10/2020;France 3;France;2,766816;11,2
LARGUEES;03/09/2020;France 3;France;2,709174;12
L'ESPION QUI M'AIMAIT;01/04/2020;France 4;Europe;1,21863;4,3
RIEN QUE POUR VOS YEUX;08/04/2020;France 4;Europe;1,10257;4
VIVRE ET LAISSER MOURIR;25/03/2020;France 4;Europe;1,04454;3,8
LA CHEVRE;26/08/2020;France 4;France;1,037556;5,1
LES DIAMANTS SONT ETERNELS;22/01/2020;France 4;Europe;0,98651;4,2
THE KARATE KID;22/04/2020;France 4;Etats-Unis;0,98651;3,6
MONUMENTS MEN;08/01/2020;France 4;Etats-Unis;0,92848;4
OPERATION TONNERRE;18/03/2020;France 4;Europe;0,92848;3,6
MONUMENTS MEN;17/05/2020;France 4;Etats-Unis;0,922272;3,7
JAMAIS PLUS JAMAIS;15/01/2020;France 4;Etats-Unis;0,87045;4
BULLITT;20/04/2020;France 5;Etats-Unis;2,03105;7,2
MAX ET LES FERRAILLEURS;01/06/2020;France 5;France;1,844544;7,7
MENACE (LA);15/06/2020;France 5;France;1,844544;7,4
MORTELLE RANDONNEE;29/06/2020;France 5;France;1,72926;7,7
UNE ETRANGE AFFAIRE;25/05/2020;France 5;France;1,671618;6,7
SYMPHONIE POUR UN MASSACRE;27/04/2020;France 5;France;1,39272;4,9
CORPS DE MON ENNEMI (LE);14/09/2020;France 5;France;1,325766;5,5
AVENTURE C'EST L'AVENTURE (L');16/11/2020;France 5;France;1,325766;5,2
ETE EN PENTE DOUCE (L');30/11/2020;France 5;France;1,325766;5,2
NIMITZ, RETOUR VERS L'ENFER;10/02/2020;France 5;Etats-Unis;1,21863;5,2
LES VISITEURS;30/04/2020;TF1;France;8,06617;28
HARRY POTTER ET LE PRISONNIER D'AZKABAN;28/04/2020;TF1;Europe;7,83405;29,7
HARRY POTTER A L'ECOLE DES SORCIERS;14/04/2020;TF1;Etats-Unis;7,71799;30
LE DINER DE CONS;14/05/2020;TF1;France;7,49346;27,4
HARRY POTTER ET LA COUPE DE FEU;05/05/2020;TF1;Europe;7,262892;28
HARRY POTTER ET LA CHAMBRE DES SECRETS;21/04/2020;TF1;Etats-Unis;7,19572;28,9
HARRY POTTER ET L'ORDRE DU PHENIX;12/05/2020;TF1;Europe;7,147608;27,2
ON A RETROUVE LA 7EME COMPAGNIE;16/04/2020;TF1;France;7,02163;25,5
LA CH'TITE FAMILLE;13/09/2020;TF1;France;6,974682;30,7
HARRY POTTER ET LE PRINCE DE SANG-MELE;19/05/2020;TF1;Europe;6,974682;29,8
MAIS OU EST DONC PASSEE LA 7EME COMPAGNIE ?;28/10/2020;TMC;France;1,786902;7
HARRY POTTER A L'ECOLE DES SORCIERS;14/12/2020;TMC;Etats-Unis;1,671618;8,7
LES GARDIENS DE LA GALAXIE VOL. 2;19/10/2020;TMC;Etats-Unis;1,671618;7,7
LA 7EME COMPAGNIE AU CLAIR DE LUNE;11/11/2020;TMC;France;1,671618;6,6
HARRY POTTER ET LA CHAMBRE DES SECRETS;21/12/2020;TMC;Etats-Unis;1,613976;7,7
EXPENDABLES 3;28/09/2020;TMC;Etats-Unis;1,613976;7,3
MECHANIC : RESURRECTION;08/06/2020;TMC;Etats-Unis;1,613976;7,3
EXPENDABLES 2 : UNITE SPECIALE;21/09/2020;TMC;Etats-Unis;1,556334;6,7
LE TRANSPORTEUR 2;18/05/2020;TMC;France;1,556334;6,1
ON A RETROUVE LA 7EME COMPAGNIE;04/11/2020;TMC;France;1,44105;5,8
MEN IN BLACK 3;29/03/2020;TFX;Etats-Unis;1,27666;4,5
HITMAN AND BODYGUARD;06/12/2020;TFX;Europe;1,15284;4,6
OBLIVION;31/05/2020;TFX;Etats-Unis;1,095198;5
ASSASSIN'S CREED;19/03/2020;TFX;Etats-Unis;1,04454;4
A LA CROISEE DES MONDES : LA BOUSSOLE D'OR;29/12/2020;TFX;Europe;1,037556;4,1
LE PARI;17/03/2020;TFX;France;0,98651;3,5
LE SEIGNEUR DES ANNEAUX : LE RETOUR DU ROI;17/12/2020;TFX;;0,979914;5,7
LE SEIGNEUR DES ANNEAUX : LES DEUX TOURS;10/12/2020;TFX;;0,979914;5,1
LA MORT DANS LA PEAU;01/10/2020;TFX;Etats-Unis;0,979914;4,4
EQUALIZER;29/11/2020;TFX;Etats-Unis;0,979914;4,2
L'ARME FATALE 4;02/04/2020;TF1 Séries Films;Etats-Unis;1,21863;4,6
L'ARME FATALE 2;19/03/2020;TF1 Séries Films;Etats-Unis;1,10257;4,3
L'ARME FATALE 3;26/03/2020;TF1 Séries Films;Etats-Unis;1,04454;3,7
BLACK SEA;22/03/2020;TF1 Séries Films;Europe;0,98651;3,7
LA RESURRECTION DU CHRIST;09/04/2020;TF1 Séries Films;Etats-Unis;0,92848;3,3
L'ARME FATALE;12/03/2020;TF1 Séries Films;Etats-Unis;0,87045;3,8
BLACK BOOK;03/05/2020;TF1 Séries Films;Europe;0,81242;3,2
AU COEUR DE L'OCEAN;29/03/2020;TF1 Séries Films;Etats-Unis;0,81242;3
15 AOUT;14/08/2020;TF1 Séries Films;France;0,806988;4,8
LE PLACARD;21/08/2020;TF1 Séries Films;France;0,806988;4,2
COCO;29/10/2020;M6;Etats-Unis;4,841928;20,1
A FOND;20/07/2020;M6;France;4,265508;20,1
RED 2;01/06/2020;M6;Etats-Unis;4,150224;18,2
ASTERIX : LE DOMAINE DES DIEUX;24/03/2020;M6;France;3,88801;14,4
RED;25/05/2020;M6;Etats-Unis;3,631446;15,1
PRETTY WOMAN;22/06/2020;M6;Etats-Unis;3,516162;16,2
LE GENDARME SE MARIE;06/04/2020;M6;France;3,4818;12,4
LES AVENTURIERS DE L'ARCHE PERDUE;26/08/2020;M6;Etats-Unis;3,45852;17,9
LES DENTS, PIPI ET AU LIT;27/07/2020;M6;France;3,45852;17,4
ZOOTOPIE;21/12/2020;M6;Etats-Unis;3,45852;13,1
DIE HARD 4 : RETOUR EN ENFER;30/03/2020;W9;Etats-Unis;2,49529;9,6
UNE JOURNEE EN ENFER;23/03/2020;W9;Etats-Unis;1,79893;6,9
TWILIGHT CHAPITRE 5 : REVELATION, 2EME PARTIE;18/05/2020;W9;Etats-Unis;1,671618;6,7
ASTERIX : LE DOMAINE DES DIEUX;27/08/2020;W9;France;1,556334;7,1
TAKEN 3;03/02/2020;W9;France;1,50878;6,5
MALEFIQUE;09/04/2020;W9;Etats-Unis;1,50878;5,3
FLIC OU VOYOU;14/07/2020;W9;France;1,498692;7,1
TWILIGHT CHAPITRE 3 : HESITATION;04/05/2020;W9;Etats-Unis;1,498692;5,6
DIVERGENTE 2 : L'INSURRECTION;17/02/2020;W9;Etats-Unis;1,39272;5,9
L'APPRENTI SORCIER;17/03/2020;W9;Etats-Unis;1,39272;5
TRANSFORMERS : THE LAST KNIGHT;27/09/2020;6ter;Etats-Unis;1,037556;5,5
PIRATES DES CARAIBES : LA VENGEANCE DE SALAZAR;15/03/2020;6ter;Etats-Unis;0,92848;4
LA GLOIRE DE MON PERE;14/04/2020;6ter;France;0,92848;3,4
RUSH HOUR 2;02/12/2020;6ter;Etats-Unis;0,922272;3,6
RUSH HOUR 3;09/12/2020;6ter;Etats-Unis;0,922272;3,6
LE GENDARME DE SAINT-TROPEZ;28/07/2020;6ter;France;0,86463;4,4
LE GENDARME EN BALADE;18/08/2020;6ter;France;0,86463;4,3
XXX : REACTIVATED;25/10/2020;6ter;Etats-Unis;0,86463;3,8
LA LEGENDE DU DRAGON;16/12/2020;6ter;Europe;0,86463;3,6
LE GENDARME SE MARIE;11/08/2020;6ter;France;0,806988;4,1
SHREK 4, IL ETAIT UNE FIN;20/04/2020;Gulli;Etats-Unis;0,98651;3,5
SHREK LE TROISIEME;13/04/2020;Gulli;Etats-Unis;0,98651;3,3
SHREK 2;06/04/2020;Gulli;Etats-Unis;0,81242;2,9
ASTERIX ET LES INDIENS;21/05/2020;Gulli;Europe;0,749346;3,1
ASTERIX ET LA SURPRISE DE CESAR;01/12/2020;Gulli;France;0,691704;2,7
ALVIN ET LES CHIPMUNKS : A FOND LA CAISSE;31/03/2020;Gulli;Etats-Unis;0,63833;2,2
LES DOUZE TRAVAUX D'ASTERIX;24/11/2020;Gulli;France;0,634062;2,3
LES SCHTROUMPFS ET LE VILLAGE PERDU;03/03/2020;Gulli;Etats-Unis;0,5803;2,4
ASTERIX ET CLEOPATRE;10/11/2020;Gulli;France;0,57642;2,1
ANGRY BIRDS : LE FILM;17/03/2020;Gulli;Etats-Unis;0,52227;1,8
REBELLES;31/03/2020;Canal +;France;2,3212;7,8
VENISE N'EST PAS EN ITALIE;18/03/2020;Canal +;France;2,08908;7,4
TROIS JOURS ET UNE VIE;21/03/2020;Canal +;France;1,50878;5,3
YAO;17/03/2020;Canal +;France;1,27666;4,5
ALADDIN;13/03/2020;Canal +;Etats-Unis;1,21863;5
LE ROI LION;07/04/2020;Canal +;Etats-Unis;1,21863;4,3
LA REINE DES NEIGES 2;18/12/2020;Canal +;Etats-Unis;1,210482;4,5
A COUTEAUX TIRES;06/11/2020;Canal +;Etats-Unis;1,095198;4,3
TANGUY, LE RETOUR;27/03/2020;Canal +;France;0,98651;3,3
TOY STORY 4;03/04/2020;Canal +;Etats-Unis;0,98651;3,2
LA FAMILLE BELIER;11/05/2020;C8;France;2,248038;9,1
LA CUISINE AU BEURRE;26/04/2020;C8;France;1,27666;4,8
SALT;22/03/2020;C8;Etats-Unis;1,21863;4,4
LES GALETTES DE PONT-AVEN;13/12/2020;C8;France;1,210482;5
TOUCHEZ PAS AU GRISBI;03/05/2020;C8;France;1,1606;4,2
LE PETIT MONDE DE DON CAMILLO;27/09/2020;C8;France;1,15284;5,3
KINGSMAN : LE CERCLE D'OR;02/11/2020;C8;Europe;1,15284;5,2
LE CONTRAT;07/12/2020;C8;Etats-Unis;1,15284;5,1
CE QUE VEULENT LES FEMMES;02/04/2020;C8;Etats-Unis;1,10257;4,7
SANS MOBILE APPARENT;20/12/2020;C8;France;1,095198;4,2
HOMEFRONT;25/11/2020;CStar;Etats-Unis;1,095198;4,2
TRUE LIES;21/10/2020;CStar;Etats-Unis;0,922272;4,2
AGENTS SECRETS;09/04/2020;CStar;France;0,81242;3
RIVIERES POURPRES 2 : LES ANGES DE L'APOCALYPSE (LES);08/10/2020;CStar;France;0,806988;3,6
LA NUIT AU MUSEE 2;28/05/2020;CStar;Etats-Unis;0,749346;3,1
SPEED;11/11/2020;CStar;Etats-Unis;0,749346;3
LA GRANDE MURAILLE;04/11/2020;CStar;Etats-Unis;0,749346;2,9
BABYLON A.D.;18/11/2020;CStar;France;0,691704;2,8
LA NUIT AU MUSEE;21/05/2020;CStar;Etats-Unis;0,691704;2,8
TERMINATOR : GENISYS;10/09/2020;CStar;Etats-Unis;0,634062;2,9
ON L'APPELLE TRINITA;21/07/2020;NRJ12;France;1,095198;5,5
COWBOYS ET ENVAHISSEURS;03/11/2020;NRJ12;Etats-Unis;1,095198;4,3
SHOOTER, TIREUR D'ELITE;01/09/2020;NRJ12;Etats-Unis;0,922272;4,3
CONTRE-ENQUETE;06/10/2020;NRJ12;France;0,922272;4
JASON BOURNE : L'HERITAGE;24/03/2020;NRJ12;Etats-Unis;0,87045;3,8
ON CONTINUE A L'APPELER TRINITA;28/07/2020;NRJ12;France;0,86463;4,5
CODE MERCURY;09/06/2020;NRJ12;Etats-Unis;0,86463;3,7
PARKER;12/01/2020;NRJ12;Etats-Unis;0,81242;3,6
JAPPELOUP;14/04/2020;NRJ12;France;0,81242;2,9
ATTRACTION;07/07/2020;NRJ12;Europe;0,806988;3,8
EN EQUILIBRE;06/11/2020;Chérie 25;France;0,922272;3,3
SUR LA ROUTE DE MADISON;16/04/2020;Chérie 25;Etats-Unis;0,81242;3,4
AVANT L'HIVER;27/04/2020;Chérie 25;France;0,81242;2,9
DOUBLE JEU;21/05/2020;Chérie 25;Etats-Unis;0,806988;3,3
UN SECRET;30/10/2020;Chérie 25;France;0,806988;3,3
PEUR PRIMALE;28/05/2020;Chérie 25;Etats-Unis;0,749346;3,5
HAUTE VOLTIGE;07/05/2020;Chérie 25;Etats-Unis;0,749346;2,9
LE PACIFICATEUR;23/04/2020;Chérie 25;Etats-Unis;0,69636;2,8
MISS DAISY ET SON CHAUFFEUR;25/06/2020;Chérie 25;Etats-Unis;0,691704;3,3
LE NOUVEAU PROTOCOLE;16/07/2020;Chérie 25;France;0,691704;3,1
LES HUIT SALOPARDS;07/06/2020;Arte;Etats-Unis;2,132754;9,8
L'IVRESSE DU POUVOIR;20/09/2020;Arte;France;2,132754;9,4
RIEN NE VA PLUS;10/06/2020;Arte;France;2,132754;7,8
UN AIR DE FAMILLE;29/01/2020;Arte;France;2,03105;9
LA CHAMBRE BLEUE;25/03/2020;Arte;France;2,03105;6,9
L'HEURE D'ETE;22/04/2020;Arte;France;2,03105;6,9
LES GRANDES GUEULES;14/12/2020;Arte;France;2,01747;8,1
LES SEPT MERCENAIRES;13/12/2020;Arte;Etats-Unis;2,01747;8
LA MARIEE ETAIT EN NOIR;19/10/2020;Arte;France;2,01747;7,8
LES AFFAMEURS;28/12/2020;Arte;Etats-Unis;1,959828;7,8
IBIZA;04/07/2021;France 2;France;5,127646;23,7
GREEN BOOK : SUR LES ROUTES DU SUD;07/02/2021;France 2;Etats-Unis;4,669002;19,5
VOYEZ COMME ON DANSE;11/04/2021;France 2;France;4,496076;17,6
LE GOUT DES AUTRES;20/01/2021;France 2;France;4,438434;17,8
